Title,Genre,User Rating,Number of Votes,Runtime,Year,Summary,Stars,Certificate,Metascore,Gross,Episode,Episode Title,Init,Ongoing
One Piece,"Animation, Action, Adventure",8.9,"187,689",24 min,(1999– ),"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Mayumi Tanaka,Laurent Vernin,Akemi Okamura,Tony Beck",TV-14,,187689,0,,1999,Yes
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Animation, Action, Adventure",7.4,"28,895",99 min,(2023),The film follows the Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.,,PG,74        ,28895,0,,2023,No
The Super Mario Bros. Movie,"Animation, Adventure, Comedy",7.1,"189,108",92 min,(2023),"A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.",,PG,46        ,189108,0,,2023,No
Attack on Titan,"Animation, Action, Adventure",9.1,"434,457",24 min,(2013–2023),"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Josh Grelle,Bryce Papenbrook,Yûki Kaji,Yui Ishikawa",TV-MA,,434457,0,,2013,No
Jujutsu Kaisen,"Animation, Action, Adventure",8.5,"82,909",24 min,(2020– ),A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"Junya Enoki,Yûichi Nakamura,Adam McArthur,Yuma Uchida",TV-MA,,82909,0,,2020,Yes
Bleach: Thousand-Year Blood War,"Animation, Action, Adventure",9.1,"28,587",24 min,(2022– ),"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.","Johnny Yong Bosch,Masakazu Morita,Stephanie Sheh,Richard Epcar",TV-MA,,28587,0,,2022,Yes
Demon Slayer: Kimetsu no Yaiba,"Animation, Action, Adventure",8.6,"131,667",24 min,(2019– ),"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Natsuki Hanae,Zach Aguilar,Abby Trott,Akari Kitô",TV-14,,131667,0,,2019,Yes
Puss in Boots: The Last Wish,"Animation, Adventure, Comedy",7.8,"153,495",102 min,(2022),"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.",,PG,73        ,153495,0,,2022,No
Bleach,"Animation, Action, Adventure",8.2,"64,528",24 min,(2004–2023),"High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows"".","Johnny Yong Bosch,Michelle Ruff,Stephanie Sheh,Jamieson Price",TV-14,,64528,0,,2004,No
Miraculous: Tales of Ladybug & Cat Noir,"Animation, Action, Adventure",7.5,"14,322",20 min,(2015– ),"Marinette and Adrien, two normal teens, transform into the superheroes Ladybug and Cat Noir when a mysterious evil threatens to destroy Paris.","Cristina Valenzuela,Bryce Papenbrook,Keith Silverstein,Max Mittelman",TV-Y7,,14322,0,,2015,Yes
Naruto: Shippuden,"Animation, Action, Adventure",8.7,"145,484",24 min,(2007–2017),"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","Alexandre Crepet,Junko Takeuchi,Maile Flanagan,Kate Higgins",TV-PG,,145484,0,,2007,No
Coraline,"Animation, Drama, Family",7.7,"250,338",100 min,(2009),"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",,PG,80        ,250338,0,,2009,No
